beatific, holy beauty, 1
froward, willful, 1
parasol, umbrella, 0
browbeat, force upon, 0
chipper, good spirits, 0
cohabit, live with, 1
fallible, capable of fault, 1
parson, clergy, 0
Conrad-inducements, incentives, 0
perspicacious, discerning, 1
disquisition, formal discourse, 0
quaff, large swig, 1
genuflect, stance of supplication, 1
chiffonier, chest of drawers, 1
shellac, varnish, 0
ossify, turn to bone, 1
bramble, briar bush, 1
argosy, ships, 1
furl, fold up, 0
fecund, fertile, 0
tensile, capable of being streched, 0
lee, away from wind, 1
depredation, robbery, 0
rosette, red, 1
testator, maker of wills, 0
schmaltz, sentimental art, 0
Ford-cataleptic, catatonic, 1
sully, defile, 0
madcap, reckless, 0
Melville-pernicious, harmful, 1
mordant, caustic, 0
phoebe, american flycatching bird, 0
efficacious, effective, 0
twill, diagonal stitching, 0
poringer, soup bowl, 0
hilt, sword handle, 1
turpitude, vileness, 0
caliope, steam organ, 1
imbue, permeate, 0
Milton-impregns, impregnate, 1
dilatory, delaying, 1
hogshead, large container, 1
Milton-carbuncle, abscess, 0
rebus, picture words, 0
geriatrics, old people, 1
tonsorial, barber, 0
scamp, rascal, 0
reprobate, unprincipled person, 1
liner, boat with regular line, 1
pare, peel, 1
Greene-contused, bruised, 0
gladiolus, tall flower, 0
morass, swamp, 1
nebulous, cloudy, 1
abrade, scrape, 1
supine, prostrate, 1
Milton-harangue, lengthy and aggressive speech, 1
pitchblende, mineral uraninite, 0
fodder, food, 0
spinster, unmarried woman, 1
surfeit, overabundance, 1
barley, wheat, 1
schlemiel, failure, 0
consign, give to custody, 1
prevaricate, evasive speaking, 0
synod, assembly of clergy, 1
loge, private box in theatre, 1
souse, pickled, 0
abbess, head nun, 1
dory, rowboat, 1
Milton-unlibidinous, excessive sexual drive, 0
Milton-burgher, citizen of a town typically wealthy, 1
Milton-cormorant, large dark diving bird, 1
postern, back entrance, 1
Milton-louring, lowering, 0
expatiate, talk at length, 0
Ford-obtrusive, noticable in an intrusive way, 1
impetus, force into motion, 1
pettish, peevish, 0
cruet, small container for liquid esp eucharist, 0
Milton-empyreal, from heaven, 1
sough, moaning or rustling, 0
hamlet, small village, 1
alderman, representative, 0
chicanery, trickery, 1
lacuna, gap, 0
Melville-ague, malaria, 0
leek, onionlike veg, 0
Ford-canter, gait of a horse, 1
erudite, informed, 1
kumquat, fruit, 0
rakish, rake or foppish, 0
Greene-laterite, reddish clay, 1
spindrift, spray from waves from wind, 0
fillip, stimulus, 1
Milton-downy, covered with fine soft hair, 1
mackinaw, heavy jacket, 0
trenchant, keen, 0
transliterate, trans. to different alphabet, 0
tracery, window frame decoration, 0
addle, confuse, 1
incommudicado, out of comm., 1
inculpate, incriminate, 1
opaque, not transparent, 1
conduce, lead, 0
Melville-inveteracy, ingrained, 0
breech, butt, 1
Milton-tumid, tumid, 1
lye, charcoal, 0
dram, small drink, 0
quorum, enough, 0
excoriate, denounce bitterly, 0
Melville-cistern, water tank, 1
dormer, window structure in roof, 1
linoleum, floor covering, 1
scintilla, slice, 0
